Site,Server,Satis,Alis
sonteklif.com,GALIA,6.5,6
sonteklif.com,MANTIS,4.7,4.4
sonteklif.com,ARVARD,3.8,3.4
klasgame.com,GALIA,6.5,6.1
klasgame.com,MANTIS,4.7,4.4
klasgame.com,ARVARD,3.8,3.55
oyuneks.com,GALIA,6.5,6.15
oyuneks.com,MANTIS,4.7,4.4
oyuneks.com,ARVARD,3.75,3.5
bursagb.com,GALIA,6.59,5.12
bursagb.com,MANTIS,4.7,3.76
bursagb.com,ARVARD,3.48,2.37
oyunfor.com,GALIA,6.5,6.1
oyunfor.com,MANTIS,4.7,4.45
oyunfor.com,ARVARD,3.8,3.55
